date,commodity,price_per_quintal
2024-01-01,Soybean,4500
2024-01-02,Soybean,4520
2024-01-03,Soybean,4480
2024-01-04,Soybean,4510
2024-01-05,Soybean,4530
2024-01-06,Soybean,4550
2024-01-07,Soybean,4520
2024-01-08,Soybean,4540
2024-01-09,Soybean,4560
2024-01-10,Soybean,4580
2024-01-11,Soybean,4600
2024-01-12,Soybean,4590
2024-01-13,Soybean,4610
2024-01-14,Soybean,4630
2024-01-15,Soybean,4620
2024-01-16,Soybean,4640
2024-01-17,Soybean,4660
2024-01-18,Soybean,4650
2024-01-19,Soybean,4670
2024-01-20,Soybean,4690
2024-01-21,Soybean,4710
2024-01-22,Soybean,4700
2024-01-23,Soybean,4720
2024-01-24,Soybean,4740
2024-01-25,Soybean,4730
2024-01-26,Soybean,4750
2024-01-27,Soybean,4770
2024-01-28,Soybean,4760
2024-01-29,Soybean,4780
2024-01-30,Soybean,4800
2024-01-31,Soybean,4820
2024-02-01,Soybean,4810
2024-02-02,Soybean,4830
2024-02-03,Soybean,4850
2024-02-04,Soybean,4840
2024-02-05,Soybean,4860
2024-02-06,Soybean,4880
2024-02-07,Soybean,4870
2024-02-08,Soybean,4890
2024-02-09,Soybean,4910
2024-02-10,Soybean,4900
2024-02-11,Soybean,4920
2024-02-12,Soybean,4940
2024-02-13,Soybean,4930
2024-02-14,Soybean,4950
2024-02-15,Soybean,4970
2024-02-16,Soybean,4960
2024-02-17,Soybean,4980
2024-02-18,Soybean,5000
2024-02-19,Soybean,4990
2024-02-20,Soybean,5010
2024-02-21,Soybean,5030
2024-02-22,Soybean,5020
2024-02-23,Soybean,5040
2024-02-24,Soybean,5060
2024-02-25,Soybean,5050
2024-02-26,Soybean,5070
2024-02-27,Soybean,5090
2024-02-28,Soybean,5080
2024-02-29,Soybean,5100
2024-03-01,Soybean,5120
2024-03-02,Soybean,5110
2024-03-03,Soybean,5130
2024-03-04,Soybean,5150
2024-03-05,Soybean,5140
2024-03-06,Soybean,5160
2024-03-07,Soybean,5180
2024-03-08,Soybean,5170
2024-03-09,Soybean,5190
2024-03-10,Soybean,5210
2024-03-11,Soybean,5200
2024-03-12,Soybean,5220
2024-03-13,Soybean,5240
2024-03-14,Soybean,5230
2024-03-15,Soybean,5250
2024-03-16,Soybean,5270
2024-03-17,Soybean,5260
2024-03-18,Soybean,5280
2024-03-19,Soybean,5300
2024-03-20,Soybean,5290
2024-03-21,Soybean,5310
2024-03-22,Soybean,5330
2024-03-23,Soybean,5320
2024-03-24,Soybean,5340
2024-03-25,Soybean,5360
2024-03-26,Soybean,5350
2024-03-27,Soybean,5370
2024-03-28,Soybean,5390
2024-03-29,Soybean,5380
2024-03-30,Soybean,5400
2024-01-01,Mustard,5200
2024-01-02,Mustard,5220
2024-01-03,Mustard,5190
2024-01-04,Mustard,5210
2024-01-05,Mustard,5240
2024-01-06,Mustard,5260
2024-01-07,Mustard,5230
2024-01-08,Mustard,5250
2024-01-09,Mustard,5280
2024-01-10,Mustard,5300
2024-01-11,Mustard,5320
2024-01-12,Mustard,5310
2024-01-13,Mustard,5330
2024-01-14,Mustard,5350
2024-01-15,Mustard,5340
2024-01-16,Mustard,5360
2024-01-17,Mustard,5380
2024-01-18,Mustard,5370
2024-01-19,Mustard,5390
2024-01-20,Mustard,5410
2024-01-21,Mustard,5430
2024-01-22,Mustard,5420
2024-01-23,Mustard,5440
2024-01-24,Mustard,5460
2024-01-25,Mustard,5450
2024-01-26,Mustard,5470
2024-01-27,Mustard,5490
2024-01-28,Mustard,5480
2024-01-29,Mustard,5500
2024-01-30,Mustard,5520
2024-01-31,Mustard,5540
2024-02-01,Mustard,5530
2024-02-02,Mustard,5550
2024-02-03,Mustard,5570
2024-02-04,Mustard,5560
2024-02-05,Mustard,5580
2024-02-06,Mustard,5600
2024-02-07,Mustard,5590
2024-02-08,Mustard,5610
2024-02-09,Mustard,5630
2024-02-10,Mustard,5620
2024-02-11,Mustard,5640
2024-02-12,Mustard,5660
2024-02-13,Mustard,5650
2024-02-14,Mustard,5670
2024-02-15,Mustard,5690
2024-02-16,Mustard,5680
2024-02-17,Mustard,5700
2024-02-18,Mustard,5720
2024-02-19,Mustard,5710
2024-02-20,Mustard,5730
2024-02-21,Mustard,5750
2024-02-22,Mustard,5740
2024-02-23,Mustard,5760
2024-02-24,Mustard,5780
2024-02-25,Mustard,5770
2024-02-26,Mustard,5790
2024-02-27,Mustard,5810
2024-02-28,Mustard,5800
2024-02-29,Mustard,5820
2024-03-01,Mustard,5840
2024-03-02,Mustard,5830
2024-03-03,Mustard,5850
2024-03-04,Mustard,5870
2024-03-05,Mustard,5860
2024-03-06,Mustard,5880
2024-03-07,Mustard,5900
